Uniq Id,Product Name,Category,Selling Price,About Product,Technical Details,Shipping Weight,Image,Product Url
d1ac6d805fcdf75f9e00af611dd03ce4,"The Learning Journey ABC Melody Maker, Primary",Toys & Games ,26.98,Make sure this fits by entering your model number.  ABC Melody Maker is an exciting electronic learning companion featuring five fun games and a ten note musical keyboard sure to entertain and educate youngsters  This colorful interactive unit features an activity selector that puts kids in charge of choosing their fun  Children won't even realize they're learning! Song book included  Requires three AA batteries (included)  For ages 3 and up  Cheerful melodies  5 educational games  Develops language skills  Reinforces listening and comprehension abilities,Color:Primary show up to 2 reviews by default Product Description ABC Melody Maker is an exciting electronic learning companion featuring five fun games and a ten note musical keyboard sure to entertain and educate youngsters. This colorful interactive unit features an activity selector that puts kids in charge of choosing their fun. Children won't even realize they're learning! Song book included. Requires three AA batteries (included). Ages 3+ years. From the Manufacturer ABC Melody Maker is an exciting electronic learning companion featuring five fun games and a ten note musical keyboard sure to entertain and educate youngsters. This colorful interactive unit features an activity selector that puts kids in charge of choosing their fun. Children won’t even realize they’re learning. Song book included. Requires three “AA” batteries (included). Ages 3+ years.  2.1 pounds (View shipping rates and policies),0.95,https://images-na.ssl-images-amazon.com/images/I/61EE6qrO2BL.jpg,https://www.amazon.com/Learning-Journey-ABC-Melody-Maker/dp/B00247R078
d82015ffbf4cd54b0edfb890002971f3,"The Complete Common Core: State Standards Kit, Grade 5",Toys & Games ,10.11,"Make sure this fits by entering your model number.  Perfect all-inclusive resource for teachers  Provides focus for instruction in the perfect time-saving format  Pre-printed, easily organized system that provides an entire list of Common Core State Standards in both math and language arts  Includes divider cards, grade-specific 2-sided cards with ""I Can"" statements on one side and the corresponding standard on the other  124 standards cards, 11 dividers","Go to your orders and start the return Select the ship method Ship it!  Go to your orders and start the return Select the ship method Ship it!  Display the Common Core Standards and ""I Can"" statements in your classroom everyday!  Brand Name Carson-Dellosa Item Weight 1.8 pounds Product Dimensions 12.5 x 3 x 4 inches Item model number 158173 Number of Items 1 Manufacturer Part Number 158173  2.9 pounds (View shipping rates and policies)",1.32,https://images-na.ssl-images-amazon.com/images/I/41gxkFaSFfL.jpg,https://www.amazon.com/Complete-Common-Core-State-Standards/dp/1623999340
39f1b8a2129315da0288cd058b6b6086,Flash Furniture 25''W x 45''L Trapezoid Red HP Laminate Activity Table - Height Adjustable Short Legs,Home & Kitchen ,92.0,Collaborative Trapezoid Activity Table  Table can be used alone or grouped together for cooperative learning  Recommended Grade Level: Preschool  Recommended Seating Capacity: 3 Children  Scratch and Stain Resistant Surface,"Go to your orders and start the return Select the ship method Ship it!  Go to your orders and start the return Select the ship method Ship it!  Color:Red show up to 2 reviews by default This Trapezoid Activity Table is a must have for daycare, preschool and early childhood development centers. Enhance collaborative learning by grouping tables together. It will accommodate children up to age 7.It features a 25.5''W x 46.25''L high pressure scratch, stain and warp resistant laminate top with a black edge band and 16 gauge tubular steel legs for increased stability. The top incorporates a protective underside backing sheet to prevent moisture absorption and warping. An attractive black powder coated finish protects the upper legs from scratches and height adjustable chrome lower legs give you the flexibility to raise or lower the table a full 9 inches in 1 inch increments. Self-leveling nylon floor glides keep the table from wobbling and protect your floor by sliding smoothly when you need to move it.Perfect for craft time, snack time and party time, this easy to clean table is just the right size for small children.  Item Weight 32 pounds Product Dimensions 45 x 25 x 25.2 inches Item model number XU-A2448-TRAP-RED-H-P-GG Assembled Height 25.25 inches Assembled Width 25 inches Assembled Length 45 inches Weight 32 Pounds  39 pounds (View shipping rates and policies)",17.69,https://images-na.ssl-images-amazon.com/images/I/31WxfYlS8XL.jpg,https://www.amazon.com/Flash-Furniture-Trapezoid-Laminate-Activity/dp/B00777W7GE
4af0833f20a8421788fc04577b0ef1c5,Schylling Veterinarian Kit,Toys & Games ,7.37,"Make sure this fits by entering your model number.  For the animal lover in the family, a complete veterinarian kit; perfect for the aspiring vet  Contains everything you need, 8 specialist veterinarian tools, Clipboard, and 2 special x-ray cards that you can see through when held up to the light  A great STEM/ steam toy, learn about animals and their health needs, Features dogs, cats, rabbits, horses and a pot-bellied pig  Comes in a portable “doctors” bag that holds everything in special trays; secures with a clasp and has a fold down handle  An excellent gift for boys and girls ages 3+","Go to your orders and start the return Select the ship method Ship it!  Go to your orders and start the return Select the ship method Ship it!  For almost 50 years, Schylling toys has been delighting generations of children with toys that inspire, enthrall and engage. As the world leader in traditional toys and classic fun, we believe that fun never goes out of style. We develop new products with a timeless appeal, perhaps from a bygone era With a nostalgic feel, that will bring joy, delight and excitement to children. We firmly believe that the best toys take you on an adventure, teach you new things, bring people together and create life long memories. We strive to make special toys; toys that are cherished, toys that are beautiful, toys that create a special place in children's lives. They need not be complicated or trendy, battery powered or electronic. They just need to engage a child and spark imagination, curiosity and even a sense of wonder. Schylling toys will never waver from its goal of developing exceptional toys that bring a smile, toys that are destined to become playroom heirlooms.  15.2 ounces (View shipping rates and policies)",0.43,https://images-na.ssl-images-amazon.com/images/I/51wOrcShPHL.jpg,https://www.amazon.com/Schylling-Veterinarian-Kit/dp/B079C6NV2Y
fd71391871b94ead84733bc272dd5886,Yellies! Frizz; Voice-Activated Spider Pet; Ages 5 & Up,Toys & Games ,14.01,"Make sure this fits by entering your model number.  Sound-activated movement–yell, talk, sing, clap, or play music.  The louder you yell, the faster they go!  Each cuddly yellies! Spider has a unique personality. Find your favorite!  Watch yellies! Pets’ eyes light up and legs move as they respond to your voice.  Includes 1 bellies! Ages 5 and up.","Go to your orders and start the return Select the ship method Ship it!  Go to your orders and start the return Select the ship method Ship it!  Yellies! Are the cutest, fuzziest pets that respond to your voice! Each yellies! Pet has its own unique look and personality and is full of fun surprises! Voice and sound-activated, they respond to talking, yelling, clapping, singing, or even music. The louder you yell, the faster they go! Find your favorite! (Each sold separately. Subject to availability. Actual Deco will vary.) parents, discover MORE at yellies.Com. yellies! And all related characters are trademarks of Hasbro.  4.2 ounces (View shipping rates and policies)",0.12,https://images-na.ssl-images-amazon.com/images/I/41YYqvdWT5L.jpg,https://www.amazon.com/Hasbro-Yellies-Frizz-Voice-Activated-Spider/dp/B07FQ4JBXG
a84f14dd0114d78f178b16f093cab0e0,Disney HK318329 Sofia The First Sleepover Set,Toys & Games ,21.58,"Make sure this fits by entering your model number.  100% Polyester  Features colorful and unique Sofia the First designs  Perfect for traveling and sleepovers  Set includes eye mask, slumber sack, and carry purse  100% Polyester  Slumber Sack Dimensions: 27"" x 57""","show up to 2 reviews by default Be the princess of the party with this colorful Sofia the First Sleepover Purse Set. This sleepover purse set includes all the necessities for the perfect sleepover - slumber sack, eye mask and carry bag - all featuring colorful graphics of your favorite little ponies. Every little girl will want one for the next party or sleepover. Slumber sack is polyester and measures 27 Inch by 57 Inch. Sleepover Purse Set is spot clean only. The purse itself containing all items measures: 13"" L x 7"" W x 10"" H.  2 pounds (View shipping rates and policies)",0.91,https://images-na.ssl-images-amazon.com/images/I/51oF4e0NvcL.jpg,https://www.amazon.com/Disney-HK318329-Sofia-First-Sleepover/dp/B00GJAT9JI
f5b9392a03cfae8817307a36411c8b17,Team Associated 9665 Hinge Pin Brace with Hinge Pins B4/T4,Toys & Games ,8.62,Anodized blue  Perfect for the racing enthusiast  Aluminum Construction,1.6 ounces (View shipping rates and policies)  show up to 2 reviews by default From the Manufacturer This is Associated's optional hinge pin brace for use on the Associated B4/T4.,0.05,https://images-na.ssl-images-amazon.com/images/I/41bHRYbeLgL.jpg,https://www.amazon.com/Team-Associated-9665-Hinge-Brace/dp/B000BOB45U
89a993dbc079cc3fbe9088c8170b6f99,"PLUS PLUS - Construction Building Toy, Open Play Set - 3,600 Pieces with Storage Tub - Basic Color Mix",Toys & Games ,125.53,"Make sure this fits by entering your model number.  SIMPLE DESIGN - FUELS CREATIVITY: One shape, endless possibilities! Every brick easily connects to the next. Create colorful flat mosaics or work in 3-D to make more intricate builds. Mix and match any Plus-Plus set to bring more ideas to life!  EDUCATIONAL FUN: Plus-Plus empowers children with free explorative play as they encourage fine motor skills, logic, creativity and imagination all without the use of screens. A great STEM toy.  PERFECT FOR ON-THE-GO: Design and build your creations any way you want, wherever you want! Great for every adventure – car rides, restaurants, a friend’s house, or in your own living room. Stay entertained for hours!  Playset includes 3,600 pieces inside a reuseable storage tub and an Idea Guide Booklet for building.","Go to your orders and start the return Select the ship method Ship it!  Go to your orders and start the return Select the ship method Ship it!  Plus-Plus is a whole new class of construction toy! One simple shape contains endless possibilities and hours of fun. Each piece easily connects to the next and lets your imagination create colorful flat mosaics or work in 3-D to make more intricate builds. Even curves are possible thanks to the unique design of this deceptively simple shape! A perfect STEM toy to develop fine motor skills, focus and patience - as well as design, imagination and creativity! All Plus-Plus sets are compatible with each other and this open play set adds more pieces and colors to the collection for more possibilities and fun. This 3,600 piece set contains Basic Colors, including Red, Blue, Green, Yellow, Orange, Purple and more. Also includes a reuseable storage tub an Idea Guide Booklet for building. BPA-free and phthalate-free. Designed and made in Denmark.  5.3 pounds (View shipping rates and policies)",2.4,https://images-na.ssl-images-amazon.com/images/I/51qmz2JiIHL.jpg,https://www.amazon.com/PLUS-3600-Pc-Set-Educational/dp/B00JZO7CNA
af983053a35fa2a843092369ff3b400b,Peppa Pig Shape Sorter Clock Puzzle (12Piece),Toys & Games ,9.32,"Make sure this fits by entering your model number.  The removable, brightly colored wooden shapes with numbers printed beneath the shapes allow for greater interaction and ease of matching  With this shape sorter clock, learning to tell time is made fun and simple!  12 die-cut wooden shapes, clock face labeled with hours and minutes, wooden clock stand and bright fun colors with smooth edges",show up to 2 reviews by default Peppa Pig Shape Sorter Clock Puzzle (12Piece)  11.2 ounces (View shipping rates and policies),0.32,https://images-na.ssl-images-amazon.com/images/I/519BaFjimBL.jpg,https://www.amazon.com/Peppa-Pig-Sorter-Puzzle-12Piece/dp/B015EOHBKI
326ebcfaa8d5204b634b5648e88e2fe4,NKOK Sonic and Sega All Stars Racing Remote Controlled Car - Sonic The Hedgehog,Toys & Games ,21.18,Make sure this fits by entering your model number.  Requires 6AA batteries (not included)  This product was awarded the Fun Stuff award by Parents' Choice Foundation  For Ages 6 and Up  Official sonic product  Full function radio control  Requires 6 AA batteries (not included)  Limited availability  New and sealed inside retail packaging,"Product Description Sonic is a video game legend and features some of the most recognizable characters in gaming history! Sonic is the world’s fastest Hedgehog. Capable of running at the speed of sound (768mph)! “Super Sonic” transformation is indestructible! He drives the Speed Star built by Tails! From the Manufacturer Sonic is the world's fastest hedgehog, capable of running at the speed of sound (768 mph). His other abilities include a ""Spin Attack"", a ""Spin Dash"" and his ""Super Sonic"" transformation which makes him indestructible and gives him the gift of run flight. Sonic is not an expert swimmer, but is fearless even of Dr. Eggman. Alongside his best friend tails, Sonic runs around the world stopping Dr. Eggman's schemes. He drives the speed star a car built by his friend tails it helps to make a fair race as no one can beat sonic on foot.  1.23 pounds (View shipping rates and policies)",0.56,https://images-na.ssl-images-amazon.com/images/I/51M1sShThFL.jpg,https://www.amazon.com/NKOK-Sonic-Racing-Remote-Controlled/dp/B003SUW37W
a11d9462309527143094a0f68bce0a58,Industro Stainless Steel Hose Clamps,Home & Kitchen ,26.89,"Make sure this fits by entering your model number.  Rectangular perforations help to hold strong and connect easily. Color: Silver.  Tub makes for easy storage. Product Dimension: 2""D x 0. 6""H x 2""W  Size: 1-3/4"", Size range: 3/4"" to 1-3/4"", Finish: Stainless Steel.  AISI 300 series stainless steel material.  Corrosion resistant. : 1 year.","Go to your orders and start the return Select the ship method Ship it!  Go to your orders and start the return Select the ship method Ship it!  show up to 2 reviews by default 300 AIS high quality 1-3/4"" Stainless-Steel Clamp. The clamp fits 3/4"" to 1-3/4"" Dia hoses and is constructed from durable stainless-steel. The bands have punched rectangular perforations that help hold strong and connect easily. Maximum hose size compatibility: 1. 75"", Minimum hose size compatibility: 0. 75"", Maintenance, Repair & Supplies Product Type: Repair Clamps. Repair Clamps Type: For Hoses.  1.37 pounds (View shipping rates and policies)",0.62,https://images-na.ssl-images-amazon.com/images/I/41y%2BKv5LLzL.jpg,https://www.amazon.com/Industro-Stainless-Steel-Hose-Clamps/dp/B07M9BPMTK
fdd8daf07ddd4a23832f3da7d209252f,"Oopsy Daisy Birchwood Owl Growth Chart, Pink, 12"" x 42""",Baby Products ,14.67,Art by Jen Christopher  Color-coordinated decorative covers are supplied that fit over the screw or nail to create a finished look  Grommets are placed in the corners to make hanging easy  Ideal gift for baby showers and first birthdays  Easy to store - just roll up each height chart as a treasured keepsake,"Go to Your Orders to start the return Print the return shipping label Ship it!  Go to Your Orders to start the return Print the return shipping label Ship it!  This personalized growth chart is perfect for the gal who likes clean, crisp color palettes. It will remain a lovely accent as your decor changes and your little one grows. One day, your height chart can be a treasured keepsake full of fond memories.",0.39,https://images-na.ssl-images-amazon.com/images/I/31B3hyqqWAL.jpg,https://www.amazon.com/Oopsy-Daisy-Birchwood-Growth-Chart/dp/B00LA48EP8
